email_id,sender_email,receiver_email,subject,body,timestamp,status,source
E101,orders@amazon.in,user@gmail.com,Your order has shipped,Your package will arrive tomorrow,2026-06-23 10:30:00,unread,shopping
E102,support@zomato.com,user@gmail.com,Issue update,Your issue has been resolved,2026-06-23 12:00:00,read,support
E103,jobs@linkedin.com,user@gmail.com,New job matches,We found new jobs for you,2026-06-23 13:15:00,unread,jobs
E104,,user@gmail.com,Invalid Email No Sender,This email has no sender,2026-06-23 13:30:00,unread,support
E105,alert@github.com,user@gmail.com,Security Alert,We detected a login from a new device,2026-06-23 14:00:00,unread,alerts
E106,newsletter@medium.com,user@gmail.com,Weekly reads,Here are your top stories for the week,2026-06-23 15:45:00,read,newsletter
E107,billing@netflix.com,user@gmail.com,Invoice for June,Your payment was successful,2026-06-23 16:30:00,,billing
E108,SPAMMER@spam.com,user@gmail.com,LOSE WEIGHT FAST,Click here to buy magic pills!,2026-06-23 17:00:00,unread,spam
E101,orders@amazon.in,user@gmail.com,Your duplicate order has shipped,Your package will arrive tomorrow,2026-06-23 10:30:00,unread,shopping
E109,invalid-date@domain.com,user@gmail.com,Bad Timestamp,Invalid date formatting,invalid-timestamp,read,support
